strain	date
EU097953|A/Denmark/15/2004	2004-XX-XX
EU097938|A/Denmark/16/2001	2001-XX-XX
EU097948|A/Denmark/16/2004	2004-XX-XX
EU097939|A/Denmark/17/2001	2001-XX-XX
EU097943|A/Denmark/17/2004	2004-XX-XX
EU097940|A/Denmark/20/2001	2001-XX-XX
EU097951|A/Denmark/22/2005	2005-XX-XX
FJ264946|A/Denmark/22/2007	2007-XX-XX
EU097947|A/Denmark/226/2005	2005-XX-XX
EU097934|A/Denmark/3/2001	2001-XX-XX
EU097950|A/Denmark/3/2005	2005-XX-XX
EU097949|A/Denmark/33/2005	2005-XX-XX
EU097941|A/Denmark/36/2001	2001-XX-XX
EU097942|A/Denmark/40/2000	2000-XX-XX
EU097933|A/Denmark/40/2001	2001-XX-XX
EU097956|A/Denmark/47/2006	2006-XX-XX
EU097957|A/Denmark/48/2006	2006-XX-XX
EU097958|A/Denmark/49/2006	2006-XX-XX
EU097955|A/Denmark/50/2006	2006-XX-XX
FJ264949|A/Denmark/52/2008	2008-XX-XX
EU097946|A/Denmark/54/2005	2005-XX-XX
EU097935|A/Denmark/6/2001	2001-XX-XX
EU097952|A/Denmark/79/2005	2005-XX-XX
FJ264947|A/Denmark/94/2008	2008-XX-XX
CY008988|A/Denver/1/1957	1980-XX-XX
CY146793|A/Denver/JY2/1957	1980-XX-XX
CY038762|A/District_of_Columbia/WRAMC_1154047/2008	2008-02-01
CY054554|A/Dornogobi/1726/2007	2007-02-27
CY011584|A/Dunedin/2/2000	2000-02-11
CY125662|A/England/192/2000	2000-XX-XX
CY125663|A/England/192/2000	2000-XX-XX
FJ445028|A/England/26/2008	2008-01-09
FJ445027|A/England/493/2006	2006-04-10
FJ445085|A/England/494/2006	2006-04-11
FJ445044|A/England/545/2007	2007-07-28
FJ445089|A/England/557/2007	2007-11-15
FJ445073|A/England/593/2006	2006-03-24
FJ445047|A/England/594/2006	2006-03-31
FJ445090|A/England/654/2007	2007-12-31
FJ654338|A/England/684/2007	2007-XX-XX
HM144117|A/Esfahan/708/2008	2008-02-07
AJ289702|A/Fiji/15899/83	1983-XX-XX
EU716574|A/Florida/02/2008	2008-01-04
EU516097|A/Florida/05/2007	2007-11-01
EU887027|A/Florida/06/2008	2008-01-11
EU100703|A/Florida/08/2006	2006-12-19
EU779610|A/Florida/08/2008	2008-01-07
EU100704|A/Florida/09/2006	2006-12-14
EU779615|A/Florida/09/2008	2008-02-06
EU516250|A/Florida/10/2007	2007-12-10
EU516293|A/Florida/12/2007	2007-12-04
EU887022|A/Florida/13/2007	2007-12-16
EU887023|A/Florida/15/2007	2007-12-16
EU516298|A/Florida/15/2007	2007-12-16
FJ532095|A/Florida/17/2008	2008-08-27
FJ549028|A/Florida/17/2008	2008-08-27
FJ686987|A/Florida/18/2008	2008-10-25
EU716585|A/Florida/19/2007	2007-12-28
EU716621|A/Florida/19/2007	2007-XX-XX
GQ475642|A/Florida/19/2008	2008-10-31
FJ686965|A/Florida/19/2008	2008-10-31
CY125044|A/Florida/2/1993	1993-XX-XX
JX477159|A/Florida/2/1993	1993-XX-XX
FJ687013|A/Florida/21/2008	2008-11-03
FJ686993|A/Florida/24/2008	2008-XX-XX
GQ475771|A/Florida/28/2008	2008-12-16
EU516297|A/Florida/3/2006	2006-10-31
CY027099|A/Florida/UR06_0049/2007	2007-01-22
CY027315|A/Florida/UR06_0208/2007	2007-02-07
CY028339|A/Florida/UR06_0209/2007	2007-02-07
CY037447|A/Florida/UR06_0265/2007	2007-02-13
CY025771|A/Florida/UR06_0280/2007	2007-02-14
CY026323|A/Florida/UR06_0354/2007	2007-02-20
CY025533|A/Florida/UR06_0355/2007	2007-02-20
CY025779|A/Florida/UR06_0383/2007	2007-02-21
CY026723|A/Florida/UR06_0412/2007	2007-02-26
CY027611|A/Florida/UR06_0447/2007	2007-02-27
CY026659|A/Florida/UR06_0501/2007	2007-03-05
CY026547|A/Florida/UR06_0577/2007	2007-03-13
CY027627|A/Florida/UR06_0578/2007	2007-03-13
CY037679|A/Florida/UR07_0022/2008	2008-02-14
CY038807|A/Florida/UR07_0026/2008	2008-02-15
CY147374|A/FLW/1951	1974-XX-XX
CY147342|A/Fort_Monmouth/1_JY2/1947	1970-XX-XX
CY087784|A/Fort_Monmouth/1_MA/1947	1970-06-01
CY009612|A/Fort_Monmouth/1/1947	1970-XX-XX
U02085|A/Fort_Monmouth/1/1947	1970-XX-XX
CY045780|A/Fort_Monmouth/1/1947	1970-XX-XX
CY009332|A/Fort_Warren/1/1950	1973-XX-XX
CY147334|A/Fort_Warren/50_JY2/1950	1973-XX-XX
